0101.21.00;CAVALOS REPRODUTORES DE RAÇA PURA
0101.29.00;OUTROS CAVALOS VIVOS
0101.30.00;ASININOS VIVOS
0101.90.00;OUTROS MUARES VIVOS
0102.21.10;BOVINOS DOMÉST.REPROD.D/RAÇA PURA,PRENHES OU C/CRIA AO
0102.21.90;OUTROS BOVINOS REPRODUTORES DE RAÇA PURA
0102.29.11;OUTROS BOVINOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ
0102.29.19;OUTROS BOVINOS DOMÉSTICOS PARA REPRODUÇÃO
0102.29.90;OUTROS BOVINOS DOMÉSTICOS VIVOS
0102.31.10;BÚFALOS REPROD.DE RAÇA PURA, PRENHES OU C/CRIA AO PÉ
0102.31.90;OUTROS BÚFALOS REPRODUTORES DE RAÇA PURA
0102.39.11;OUTROS BÚFALOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ
0102.39.19;OUTROS BÚFALOS PARA REPRODUÇÃO
0102.39.90;OUTROS BÚFALOS VIVOS
0102.90.00;OUTROS ANIMAIS VIVOS DA ESPÉCIE BOVINA
0103.10.00;REPRODUTORES DA ESPÉCIE SUÍNA DE RAÇA PURA
0103.91.00;OUTROS SUÍNOS REPROD.PESO INFERIOR 50 KG
0103.92.00;OUTS.SUÍNOS REPROD.PESO IGUAL OU SUP 50 KG
0104.10.11;OVINOS REP.RAÇA PURA,PRENHE OU C/CRIA AO PÉ
0104.10.19;OUTROS OVINOS REPRODUTORES DE RAÇA PURA
0104.10.90;OUTROS ANIMAIS DA ESPÉCIES OVINAS
0104.20.10;CAPRINOS REPRODUTORES DE RAÇA PURA
0104.20.90;OUTS.CAPRINOS REPRODUTORES DE RAÇA PURA
0105.11.10;GALO E GALINHA REP.RAÇA PUR/ HIBRI.Ñ SUP.185G
0105.11.90;OUTROS GALOS E GALINHAS NÃO SUPERIOR A 185G
0105.12.00;PERUAS E PERUS, PESO NÃO SUPERIOR A 185G
0105.13.00;PATOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G
0105.14.00;GANSOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G
0105.15.00;GALINHAS D'ANGOLA (PINTADAS) DOMEST.VIVAS D/PESO INF.A
0105.94.00;GALOS E GALINHAS DE PESO Ñ SUPERIOR A 185G
0105.99.00;OUTRAS AVES DAS ESP.DOMÉSTICAS,PESO >185G
0106.11.00;MAMÍFEROS PRIMATAS VIVOS
0106.12.00;"BALEIAS,GOLF.,BOTOS;PEIXES-BOIS,DUDONG;OTÁRIAS,FOCAS,ET"
0106.13.00;CAMELOS E OUTROS CAMELÍDIOS VIVOS
0106.14.00;COELHOS E LEBRES VIVOS
0106.19.00;OUTROS MAMÍFEROS VIVOS
0106.20.00;RÉPTEIS,SERPENTES E TARTAR.MARINHAS,VIVOS
0106.31.00;AVES DE RAPINA VIVAS
0106.32.00;PSITACIFORMES(PAP.PER.ARARAS,CACATUAS)VIVO
0106.33.10;AVESTRUZES (STRUTHIO CAMELUS) PARA REPRODUÇÃO
0106.33.90;OUTROS AVESTRUZES VIVOS
0106.39.00;OUTRAS AVES VIVAS
0106.41.00;ABELHAS VIVAS
0106.49.00;OUTROS INSETOS VIVOS
0106.90.00;OUTROS ANIMAIS VIVOS
0201.10.00;CARCAÇAS E MEIAS-CARCS. DE BOV., FRESC.REFR.
0201.20.10;QUARTOS DIANT. BOV. Ñ DESOSS. FRESC.OU REFR.
0201.20.20;QUARTOS TRAZ.BOV.Ñ DESOSS.FRESC.OU REFRIG.
0201.20.90;OUTS CARNES BOV.Ñ DESOSS.FRESC OU REFRIG.
0201.30.00;OUTS CARNES BOV. DESOSS.FRESC OU REFRIG.
0202.10.00;CARCAÇAS E MEIAS-CARCAÇAS DE BOVINOS,CONG.
0202.20.10;QUART.DIANTEIRO DE BOVINO NÃO DESOSS., CONG.
0202.20.20;QUART.TRASEIRO DE BOVINO NÃO DESOSS., CONG.
0202.20.90;OUTRAS CARNES BOV. NÃO DESOSS.,CONGELADAS
0202.30.00;CARNES DE BOVINO DESOSSADAS, CONGELADAS
0203.11.00;CARCS E MEIAS-CARCS. DE SUÍNOS, FRESC., REFR.
0203.12.00;PERNA E PEDAÇO Ñ DESOS. SUÍNOS, FRESC.,REFR.
0203.19.00;OUTRAS CARNES DE SUÍNOS, FRESCAS OU REFRIG.
0203.21.00;CARCS. E MEIAS-CARCS. DE SUÍNOS, CONGELADAS
0203.22.00;PERNA E PEDAÇO Ñ DESOS. SUÍNOS, CONGELADOS
0203.29.00;OUTRAS CARNES DE SUÍNO,CONGELADAS
0204.10.00;CARCS.E MEIAS-CARCS D/CORDEIRO,FRESC.,REFR.
0204.21.00;CARCS.E MEIAS-CARCS.DE OVINOS,FRESC.REFRIG.
0204.22.00;OUTRAS PEÇAS Ñ DESOSS.D/OVINOS,FRESC.REFR.
0204.23.00;PÇS DESOSSADAS D/OVINOS,FRESCAS OU REFRIG.
0204.30.00;CARCS. E MEIAS-CARCS. DE CORDEIRO,CONG.
